State,Year,Population,Latitude,Longitude,Code,income
Virginia,2014,8326289,37.926868,-78.024902,VA,49764
Virginia,2015,8382993,37.926868,-78.024902,VA,51620
Virginia,2016,8411808,37.926868,-78.024902,VA,52659
Virginia,2017,8470020,37.926868,-78.024902,VA,54380
Virginia,2018,8517685,37.926868,-78.024902,VA,56133
Virginia,2019,8535519,37.926868,-78.024902,VA,58368
Virginia,2020,8631393,37.926868,-78.024902,VA,61474
Virginia,2021,8642274,37.926868,-78.024902,VA,66838
Virginia,2022,8683619,37.926868,-78.024902,VA,68985
Washington,2014,7061530,47.751076,-120.740135,WA,50265
Washington,2015,7170351,47.751076,-120.740135,WA,52415
Washington,2016,7288000,47.751076,-120.740135,WA,54302
Washington,2017,7405743,47.751076,-120.740135,WA,56805
Washington,2018,7535591,47.751076,-120.740135,WA,59827
Washington,2019,7614893,47.751076,-120.740135,WA,63405
Washington,2020,7705281,47.751076,-120.740135,WA,67674
Washington,2021,7738692,47.751076,-120.740135,WA,74188
Washington,2022,7785786,47.751076,-120.740135,WA,75332
West Virginia,2014,1850326,39,-80.5,WV,36242
West Virginia,2015,1844128,39,-80.5,WV,37067
West Virginia,2016,1831102,39,-80.5,WV,37074
West Virginia,2017,1815857,39,-80.5,WV,38840
West Virginia,2018,1805832,39,-80.5,WV,41000
West Virginia,2019,1792147,39,-80.5,WV,42627
West Virginia,2020,1793716,39,-80.5,WV,45071
West Virginia,2021,1782959,39,-80.5,WV,49071
West Virginia,2022,1775156,39,-80.5,WV,49993
Wisconsin,2014,5757564,44.5,-89.5,WI,44159
Wisconsin,2015,5771337,44.5,-89.5,WI,45932
Wisconsin,2016,5778709,44.5,-89.5,WI,46598
Wisconsin,2017,5795483,44.5,-89.5,WI,48313
Wisconsin,2018,5813568,44.5,-89.5,WI,50522
Wisconsin,2019,5822434,44.5,-89.5,WI,52364
Wisconsin,2020,5893718,44.5,-89.5,WI,55431
Wisconsin,2021,5895908,44.5,-89.5,WI,60381
