State and area,Year,Quarter,Total,Rate
Kansas,2021,1,167714,3.733333333333333
Kansas,2021,2,158398,3.5
Kansas,2021,3,147428,3.266666666666667
Kansas,2021,4,122267,2.733333333333333
Kansas,2022,1,108617,2.433333333333333
Kansas,2022,2,111438,2.5
Kansas,2022,3,126275,2.8000000000000003
Kansas,2022,4,132467,2.9333333333333336
Kansas,2023,1,131623,2.9
Kansas,2023,2,131401,2.8666666666666667
Kansas,2023,3,125751,2.733333333333333
Kentucky,2014,1,445778,7.333333333333333
Kentucky,2014,2,407161,6.733333333333333
Kentucky,2014,3,362744,6.066666666666666
Kentucky,2014,4,330504,5.533333333333334
Kentucky,2015,1,314578,5.3
Kentucky,2015,2,310415,5.233333333333333
Kentucky,2015,3,305882,5.2
Kentucky,2015,4,310199,5.2
Kentucky,2016,1,308230,5.133333333333333
Kentucky,2016,2,298369,4.933333333333334
Kentucky,2016,3,301544,4.966666666666667
Kentucky,2016,4,309545,5.1
Kentucky,2017,1,309363,5.033333333333333
Kentucky,2017,2,304127,4.933333333333334
Kentucky,2017,3,292533,4.733333333333333
Kentucky,2017,4,270886,4.3999999999999995
Kentucky,2018,1,259869,4.2
Kentucky,2018,2,260483,4.2
Kentucky,2018,3,260996,4.2
Kentucky,2018,4,259482,4.2
